thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
108,0,108,[np.float64(-0.23148148148148148)],[np.float64(-0.04861111111111111)],[1],[0],[0],[2.4615422000642866],[None],108,0,108,0,262.07449680007994,,10,262.065064500086,262.07449680007994,262.07449680007994,0.025159799959510565,264.5267159000505,[np.float64(-0.23148148148148148)],[np.float64(-0.04861111111111111)],[1],[0],[0],[2.4615422000642866],[None],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
109,0,109,[np.float64(-0.2847222222222222)],[np.float64(0.24305555555555555)],[1],[0],[0],[1.16664810013026],['Target'],109,0,109,0,264.5477263000794,,5,264.54160700016655,264.5477263000794,264.5477263000794,0.014665199909359217,265.7083619001787,[np.float64(-0.2847222222222222)],[np.float64(0.24305555555555555)],[1],[0],[0],[1.16664810013026],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
110,0,110,[np.float64(-0.4837962962962963)],[np.float64(-0.15393518518518517)],[1],[0],[0],[1.807309100171551],['Target'],110,0,110,0,265.74593840003945,,10,265.7379080001265,265.74593840003945,265.74593840003945,0.029363200068473816,267.54530860017985,[np.float64(-0.4837962962962963)],[np.float64(-0.15393518518518517)],[1],[0],[0],[1.807309100171551],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
111,0,111,[np.float64(0.14583333333333334)],[np.float64(0.27546296296296297)],[1],[0],[0],[1.874866400146857],['Target'],111,0,111,0,267.56586150010116,,5,267.56042100000195,267.56586150010116,267.56586150010116,0.014926099916920066,269.4354046001099,[np.float64(0.14583333333333334)],[np.float64(0.27546296296296297)],[1],[0],[0],[1.874866400146857],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
112,0,112,[np.float64(-0.41550925925925924)],[np.float64(0.1701388888888889)],[1],[0],[0],[4.228530199965462],['Target'],112,0,112,0,269.4556028000079,,5,269.44951100018807,269.4556028000079,269.4556028000079,0.013917499920353293,273.67817130009644,[np.float64(-0.41550925925925924)],[np.float64(0.1701388888888889)],[1],[0],[0],[4.228530199965462],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
113,0,113,[np.float64(-0.1076388888888889)],[np.float64(0.4212962962962963)],[1],[0],[0],[2.3943572998978198],['Target'],113,0,113,0,273.7016513000708,,5,273.69577740016393,273.7016513000708,273.7016513000708,0.017373800044879317,276.09024110017344,[np.float64(-0.1076388888888889)],[np.float64(0.4212962962962963)],[1],[0],[0],[2.3943572998978198],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
114,0,114,[np.float64(0.4791666666666667)],[np.float64(0.16203703703703703)],[1],[0],[0],[1.6154088000766933],['Target'],114,0,114,0,276.10899710003287,,5,276.10392939997837,276.10899710003287,276.10899710003287,0.013499600114300847,277.71963579999283,[np.float64(0.4791666666666667)],[np.float64(0.16203703703703703)],[1],[0],[0],[1.6154088000766933],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
115,0,115,[np.float64(0.06481481481481481)],[np.float64(-0.40046296296296297)],[1],[0],[0],[1.847921600099653],['Target'],115,0,115,0,277.74171810015105,,5,277.7361276000738,277.74171810015105,277.74171810015105,0.01618209993466735,279.5841727000661,[np.float64(0.06481481481481481)],[np.float64(-0.40046296296296297)],[1],[0],[0],[1.847921600099653],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
116,0,116,[np.float64(-0.3726851851851852)],[np.float64(-0.20601851851851852)],[1],[0],[0],[2.434247200144455],['Target'],116,0,116,0,279.6102837000508,,5,279.6033050001133,279.6102837000508,279.6102837000508,0.018910400103777647,282.037667500088,[np.float64(-0.3726851851851852)],[np.float64(-0.20601851851851852)],[1],[0],[0],[2.434247200144455],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
117,0,117,[np.float64(-0.4085648148148148)],[np.float64(-0.04513888888888889)],[1],[0],[0],[1.2231000999454409],['Target'],117,0,117,0,282.06057190010324,,5,282.0543321000878,282.06057190010324,282.06057190010324,0.016458400059491396,283.2775360001251,[np.float64(-0.4085648148148148)],[np.float64(-0.04513888888888889)],[1],[0],[0],[1.2231000999454409],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
