Target,Option1,Option2,corr_similar,corr_opposite,task_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Target_ns,Option1_ns,Option2_ns,corr_similar_ns,corr_opposite_ns,task_type_ns,corr_resp_ns,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp_3.started,Instruction.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trial.started,Fixation.started,textbox.started,key_resp.started,text_2.started,Target_word.started,opt1_text.started,Opt2_text.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,break_2.started,text_5.started,key_resp_4.started,text_5.stopped,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial_2.started,Fixation1.started,text_4.started,textbox_2.started,Target_.started,Option01.started,Option02.started,key_resp_2.started,Fixation1.stopped,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,Thankyou.started,textbox_3.started,textbox_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
Polite,Courteous,Rude,Courteous,Rude,similar,Courteous,29,29,0,right,0,4.6827757,None,,,,,,,,,,,,0,29,29,33,,,,,234.3237724,,,,,,,,,234.3195666,234.3237724,234.3237724,234.3237724,234.8095523,234.8095523,234.8095523,234.8095523,234.8179323,239.0112442,right,0,4.6827757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Beautiful,Elegant,Hideous,Elegant,Hideous,opposite,Hideous,30,30,0,right,0,6.0081341,None,,,,,,,,,,,,0,30,30,7,,,,,239.0286049,,,,,,,,,239.0229198,239.0286049,239.0286049,239.0286049,239.5102398,239.5102398,239.5102398,239.5102398,239.5265362,245.0421446,right,0,6.0081341,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Close,Near,Distant,Near,Distant,opposite,Distant,31,31,0,right,0,5.5265531,None,,,,,,,,,,,,0,31,31,28,,,,,245.0565084,,,,,,,,,245.0518336,245.0565084,245.0565084,245.0565084,245.5409976,245.5409976,245.5409976,245.5409976,245.5495039,250.5910053,right,0,5.5265531,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Bright,Luminous,Dim,Luminous,Dim,opposite,Dim,32,32,0,right,0,3.2832504,None,,,,,,,,,,,,0,32,32,1,,,,,250.6070971,,,,,,,,,250.6022999,250.6070971,250.6070971,250.6070971,251.0891294,251.0891294,251.0891294,251.0891294,251.106119,253.8925349,right,0,3.2832504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Shortage,Deficit,Surplus,Deficit,Surplus,similar,Deficit,33,33,0,left,0,4.3663107,None,,,,,,,,,,,,0,33,33,43,,,,,253.9065392,,,,,,,,,253.9025292,253.9065392,253.9065392,253.9065392,254.3836492,254.3836492,254.3836492,254.3836492,254.4000835,258.2769023,left,0,4.3663107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Rich,Affluent,Poor,Affluent,Poor,opposite,Poor,34,34,0,right,0,2.1679789,None,,,,,,,,,,,,0,34,34,24,,,,,258.2949005,,,,,,,,,258.2893338,258.2949005,258.2949005,258.2949005,258.7757961,258.7757961,258.7757961,258.7757961,258.7925731,260.4645435,right,0,2.1679789,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Sharp,Acute,Blunt,Acute,Blunt,opposite,Blunt,35,35,0,left,0,10.7827465,None,,,,,,,,,,,,0,35,35,26,,,,,260.479929,,,,,,,,,260.4745679,260.479929,260.479929,260.479929,260.9639258,260.9639258,260.9639258,260.9639258,260.9715793,271.271614,left,0,10.7827465,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Quiet,Tranquil,Loud,Tranquil,Loud,opposite,Loud,36,36,0,right,0,4.1503533,None,,,,,,,,,,,,0,36,36,39,,,,,271.2915694,,,,,,,,,271.2867554,271.2915694,271.2915694,271.2915694,271.7691599,271.7691599,271.7691599,271.7691599,271.7857245,275.4464008,right,0,4.1503533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Short,Brief,Lengthy,Brief,Lengthy,similar,Brief,37,37,0,left,0,4.1267593,None,,,,,,,,,,,,0,37,37,29,,,,,275.4653364,,,,,,,,,275.460048,275.4653364,275.4653364,275.4653364,275.9375664,275.9375664,275.9375664,275.9375664,275.9617576,279.5994503,left,0,4.1267593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Dangerous,Hazardous,Safe,Hazardous,Safe,opposite,Safe,38,38,0,right,0,4.5022835,None,,,,,,,,,,,,0,38,38,35,,,,,279.618111,,,,,,,,,279.6142378,279.618111,279.618111,279.618111,280.0959376,280.0959376,280.0959376,280.0959376,280.1129898,284.1227508,right,0,4.5022835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
