Target,Option1,Option2,corr_similar,corr_opposite,task_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Target_ns,Option1_ns,Option2_ns,corr_similar_ns,corr_opposite_ns,task_type_ns,corr_resp_ns,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp_3.started,Instruction.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trial.started,Fixation.started,textbox.started,key_resp.started,text_2.started,Target_word.started,opt1_text.started,Opt2_text.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,break_2.started,text_5.started,key_resp_4.started,text_5.stopped,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial_2.started,Fixation1.started,text_4.started,textbox_2.started,Target_.started,Option01.started,Option02.started,key_resp_2.started,Fixation1.stopped,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,Thankyou.started,textbox_3.started,textbox_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
Bitter,Acrid,Sweet,Acrid,Sweet,similar,Acrid,29,29,0,left,0,6.2118899,None,,,,,,,,,,,,0,29,29,30,,,,,173.0237409,,,,,,,,,173.019687,173.0237409,173.0237409,173.0237409,173.501833,173.501833,173.501833,173.501833,173.5162435,179.2365521,left,0,6.2118899,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Short,Brief,Lengthy,Brief,Lengthy,similar,Brief,30,30,0,left,0,4.1283706,None,,,,,,,,,,,,0,30,30,29,,,,,179.2497644,,,,,,,,,179.2452596,179.2497644,179.2497644,179.2497644,179.7397375,179.7397375,179.7397375,179.7397375,179.7455883,183.3793996,left,0,4.1283706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Clean,Immaculate,Dirty,Immaculate,Dirty,opposite,Dirty,31,31,0,right,0,2.3881486,None,,,,,,,,,,,,0,31,31,21,,,,,183.3997089,,,,,,,,,183.3940856,183.3997089,183.3997089,183.3997089,183.8741956,183.8741956,183.8741956,183.8741956,183.8950027,185.7919291,right,0,2.3881486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Happy,Elated,Miserable,Elated,Miserable,similar,Elated,32,32,0,left,0,4.3141099,None,,,,,,,,,,,,0,32,32,9,,,,,185.8076972,,,,,,,,,185.8035421,185.8076972,185.8076972,185.8076972,186.2950597,186.2950597,186.2950597,186.2950597,186.3004414,190.125647,left,0,4.3141099,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Sharp,Acute,Blunt,Acute,Blunt,opposite,Blunt,33,33,0,right,0,2.3916992,None,,,,,,,,,,,,0,33,33,26,,,,,190.1463746,,,,,,,,,190.1406997,190.1463746,190.1463746,190.1463746,190.6309647,190.6309647,190.6309647,190.6309647,190.6372997,192.5388096,right,0,2.3916992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Smooth,Sleek,Rough,Sleek,Rough,opposite,Rough,34,34,0,right,0,5.8480794,None,,,,,,,,,,,,0,34,34,41,,,,,192.5556207,,,,,,,,,192.5502522,192.5556207,192.5556207,192.5556207,193.0427883,193.0427883,193.0427883,193.0427883,193.0493751,198.4113563,right,0,5.8480794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Beautiful,Elegant,Hideous,Elegant,Hideous,opposite,Hideous,35,35,0,right,0,4.9084758,None,,,,,,,,,,,,0,35,35,7,,,,,198.4274963,,,,,,,,,198.4234021,198.4274963,198.4274963,198.4274963,198.9136181,198.9136181,198.9136181,198.9136181,198.9198194,203.3440486,right,0,4.9084758,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Polite,Courteous,Rude,Courteous,Rude,similar,Courteous,36,36,0,left,0,3.8956321,None,,,,,,,,,,,,0,36,36,33,,,,,203.3662057,,,,,,,,,203.3615714,203.3662057,203.3662057,203.3662057,203.8427255,203.8427255,203.8427255,203.8427255,203.8556587,207.2704496,left,0,3.8956321,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Large,Massive,Tiny,Massive,Tiny,similar,Massive,37,37,0,right,0,3.1920664,None,,,,,,,,,,,,0,37,37,11,,,,,207.2854581,,,,,,,,,207.2815009,207.2854581,207.2854581,207.2854581,207.7728886,207.7728886,207.7728886,207.7728886,207.7791254,210.4811916,right,0,3.1920664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Kind,Benevolent,Cruel,Benevolent,Cruel,similar,Benevolent,38,38,0,left,0,6.378821,None,,,,,,,,,,,,0,38,38,19,,,,,210.4982775,,,,,,,,,210.4924786,210.4982775,210.4982775,210.4982775,210.9825805,210.9825805,210.9825805,210.9825805,210.9881305,216.8872732,left,0,6.378821,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
